"","MUNICIPIO_2021","DISTRITO_2021","SECCION","Ayuntamiento_2021","Ayuntamiento_2019","Ayuntamiento_2016","Ayuntamiento_2013","Ayuntamiento_2010","Ayuntamiento_2021_votos","Ayuntamiento_2019_votos","Ayuntamiento_2016_votos","Ayuntamiento_2013_votos","Ayuntamiento_2010_votos"
"1","ENSENADA","XV","0001","Coalicion","Morena","C..OMAR.GARCÃ.A.ARÃ.MBULA","PRI","PRI",434,249,298,417,287
"2","ENSENADA","XV","0002","Coalicion","PAN","PAN","PRI","PRI",439,249,288,350,266
"3","ENSENADA","XV","0003","Morena","Morena","MORENA","PRI","PRI",375,228,93,393,261
"4","ENSENADA","XV","0004","Morena","Morena","PAN","PRI","PRI",352,209,121,363,265
"5","ENSENADA","XV","0005","Morena","Morena","PAN","PRI","PRI",127,101,51,143,125
"6","ENSENADA","XV","0006","Morena","Morena","C..OMAR.GARCÃ.A.ARÃ.MBULA","PRI","PRI",310,189,107,287,176
"7","ENSENADA","XV","0007","Morena","Morena","PAN","PRI","PRI",127,90,45,148,105
"8","ENSENADA","XV","0008","Morena","Morena","C..OMAR.GARCÃ.A.ARÃ.MBULA","PRI","PRI",313,174,165,303,230
"9","ENSENADA","XV","0009","Morena","Morena","C..OMAR.GARCÃ.A.ARÃ.MBULA","PRI","PRI",234,157,97,247,159
"10","ENSENADA","XV","0010","Morena","Morena","PRI","PRI","PRI",234,155,88,288,247
"11","ENSENADA","XV","0020","Morena","Morena","C..OMAR.GARCÃ.A.ARÃ.MBULA","PRI","PRI",326,236,275,398,332
"12","ENSENADA","XV","0021","Morena","Morena","C..OMAR.GARCÃ.A.ARÃ.MBULA","PRI","PRI",158,100,97,192,136
"13","ENSENADA","XV","0022","Morena","Morena","PAN","PRI","PRI",251,170,113,307,236
"14","ENSENADA","XV","0023","Coalicion","PAN","PAN","PRI","PRI",306,224,279,372,299
"15","ENSENADA","XV","0024","Morena","Morena","C..OMAR.GARCÃ.A.ARÃ.MBULA","PRI","PRI",242,166,140,341,296
"16","ENSENADA","XV","0025","Morena","Morena","C..OMAR.GARCÃ.A.ARÃ.MBULA","PRI","PRI",185,138,145,282,239
"17","ENSENADA","XV","0026","Morena","Morena","C..OMAR.GARCÃ.A.ARÃ.MBULA","PRI","PRI",168,137,104,213,195
"18","ENSENADA","XV","0027","Morena","Morena","C..OMAR.GARCÃ.A.ARÃ.MBULA","PRI","PRI",245,195,124,370,290
"19","ENSENADA","XV","0043","Morena","Morena","C..OMAR.GARCÃ.A.ARÃ.MBULA","PRI","PRI",216,154,127,319,247
"20","ENSENADA","XV","0044","Morena","Morena","PAN","PRI","PRI",139,101,67,166,134
"21","ENSENADA","XV","0045","Morena","Morena","PAN","PRI","PAN",103,75,69,161,142
"22","ENSENADA","XV","0046","Coalicion","Morena","PAN","PRI","PRI",153,103,103,230,196
"23","ENSENADA","XV","0047","Morena","Morena","C..OMAR.GARCÃ.A.ARÃ.MBULA","PRI","PRI",202,146,278,257,219
"24","ENSENADA","XV","0048","Coalicion","Morena","PAN","PRI","PRI",321,191,243,487,368
